COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
39,4842.05,4009.23,4780.51,4366.67,3978.97,4383.59,4649.23,4445.13,4449.23,4217.95,4285.64,4428.21,4145.13,4492.31,1706,1678,0.06,0,0,0,0,
40,4842.56,4008.72,4787.18,4365.13,3973.33,4380,4650.26,4446.67,4455.38,4214.87,4287.69,4428.21,4150.77,4487.69,1707,1679,0.07,0,0,0,0,
41,4845.64,4007.18,4797.95,4366.15,3973.33,4381.03,4646.15,4445.64,4450.77,4218.46,4282.05,4430.77,4146.15,4480.51,1705,1680,0.08,0,0,0,0,
42,4841.03,4001.54,4789.74,4361.54,3972.31,4384.62,4642.05,4445.13,4445.13,4212.82,4274.87,4426.67,4134.87,4471.28,1705,1681,0.09,0,0,0,0,
43,4834.87,3996.92,4783.59,4356.41,3966.67,4384.1,4641.54,4448.21,4446.15,4206.67,4278.46,4424.62,4135.38,4472.82,1703,1683,0.1,0,0,0,0,
44,4841.03,3999.49,4791.79,4358.46,3962.05,4381.54,4643.08,4447.18,4444.62,4212.31,4282.56,4427.18,4147.18,4478.46,1703,1684,0.1,0,0,0,0,
45,4847.18,4003.08,4794.36,4357.44,3961.03,4381.54,4642.56,4444.1,4438.46,4215.38,4279.49,4424.1,4150.26,4475.9,1701,1685,0.12,0,0,0,0,
46,4838.46,3997.44,4792.31,4354.87,3964.62,4383.08,4645.13,4446.67,4444.1,4207.18,4277.95,4418.97,4145.13,4474.87,1701,1685,0.13,0,0,0,0,
47,4827.69,3990.26,4792.82,4355.38,3963.08,4381.54,4647.18,4449.23,4451.28,4200.51,4278.46,4416.92,4139.49,4475.38,1699,1686,0.14,0,0,0,0,
48,4826.67,3994.87,4789.23,4356.41,3957.44,4382.05,4642.05,4449.74,4450.26,4200.51,4277.95,4413.85,4138.46,4471.79,1698,1687,0.14,0,0,0,0,
49,4833.33,4002.05,4780.51,4358.97,3960.51,4384.62,4640,4450.77,4450.77,4206.15,4283.59,4417.44,4142.56,4472.82,1696,1688,0.16,0,0,0,0,
50,4840,4003.59,4783.08,4365.64,3971.28,4387.69,4647.18,4451.79,4457.95,4215.38,4293.33,4427.69,4149.74,4483.59,1695,1690,0.17,0,0,0,0,
51,4843.59,4005.13,4791.28,4368.21,3972.82,4388.72,4650.26,4453.33,4460.51,4220.51,4296.41,4432.31,4154.87,4492.31,1695,1687,0.18,0,0,0,0,
52,4844.1,4004.1,4790.26,4366.15,3962.05,4383.59,4646.67,4455.9,4451.79,4221.54,4296.92,4430.26,4153.33,4490.77,1693,1690,0.19,0,0,0,0,
53,4844.1,4003.59,4784.62,4367.18,3955.38,4379.49,4644.1,4457.44,4444.62,4222.56,4302.05,4428.21,4154.36,4488.21,1694,1688,0.2,0,0,0,0,
54,4853.85,4006.67,4791.79,4372.31,3959.49,4381.03,4645.64,4456.41,4445.13,4220.51,4302.56,4434.87,4156.92,4491.28,1694,1687,0.21,0,0,0,0,
